Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
89	-568.3374	32.071888	-508.8379	-599.2879	1000.0	-53.460976	2.7396598	-37.458607	-76.482254	450000	0.020934543	219.30646	-0.0025118925	-15.130356	8.785271	1.3237556	746.6609721183777
90	-591.69257	41.285084	-545.77203	-660.4956	1000.0	-52.049824	2.5716567	-24.654444	-79.04475	455000	-0.037924867	247.7739	-0.0015942641	-28.27504	8.821088	1.3386344	755.3277266025543
91	-589.9557	82.8014	-497.83603	-714.82196	1000.0	-53.504612	4.769247	14.728266	-80.56276	460000	-0.049998958	322.93494	-0.0020938218	-51.307037	8.772786	1.3394123	763.3275187015533
92	-568.2787	41.187798	-505.3084	-620.5161	1000.0	-53.54161	6.6202483	-10.67714	-80.633644	465000	0.049313977	240.15042	-0.0019889101	-52.549393	8.8355465	1.4299252	771.322404384613
93	-598.71655	96.88254	-485.62967	-723.882	1000.0	-51.48117	6.917908	-19.958025	-79.9281	470000	0.04436007	313.9956	-0.0021518506	-69.38466	8.893929	1.3899534	779.246954202652
94	-573.0781	60.893665	-502.05087	-659.21826	1000.0	-52.154686	7.65864	-15.498977	-80.28529	475000	0.08068586	309.76837	-0.0020373315	-67.47287	8.868656	1.3619725	787.2167718410492
95	-628.1542	60.088066	-546.255	-715.93805	1000.0	-52.482063	6.740138	-10.0355625	-80.32257	480000	0.015906818	382.32416	-0.0019410439	-88.31799	8.799785	1.3607479	795.2115788459778
96	-566.88776	32.62135	-524.40045	-607.9983	1000.0	-54.879475	8.59385	-3.9929283	-80.680725	485000	-0.011411387	309.1135	-0.001564065	-68.3815	8.745416	1.3336227	803.1822872161865
97	-580.9664	46.702896	-515.1349	-658.4602	1000.0	-50.137108	6.0859222	-14.405753	-78.7274	490000	-0.02227003	314.90005	-0.0012643021	-62.703705	8.786403	1.3317939	811.3074243068695
98	-526.659	83.29161	-382.32092	-600.52423	1000.0	-52.37284	7.3542714	-21.991646	-79.932175	495000	0.04745588	308.7664	-0.0019280873	-70.894714	8.854658	1.3754443	819.4013774394989
99	-608.2339	76.308174	-521.509	-751.00073	1000.0	-48.503593	5.23928	0.9494687	-78.493355	500000	-0.007080946	365.61334	-0.0025302032	-101.431946	8.77812	1.3245262	827.4535665512085
100	-582.01355	69.444016	-484.39862	-674.25726	1000.0	-53.094467	7.329789	-20.983013	-81.57416	505000	-0.009420645	241.1066	-0.0016673608	-54.15175	8.800675	1.3310678	836.0486748218536
101	-544.0411	66.091415	-429.44635	-634.38605	1000.0	-52.290413	4.9492135	-34.091164	-81.18828	510000	0.1170729	228.39098	-0.0022583753	-45.96367	8.8624935	1.3976922	844.1410026550293
102	-571.7793	28.760406	-546.4292	-612.04456	1000.0	-49.51178	3.8293066	-19.057446	-77.289	515000	0.08165305	317.2879	-0.0018152595	-72.72705	8.78158	1.32217	851.8296537399292
103	-563.7376	54.232403	-483.3829	-637.94525	1000.0	-53.508213	7.2341943	-8.269886	-81.2054	520000	0.0473544	329.8307	-0.0013582222	-102.45303	8.824552	1.3144113	859.5117552280426
104	-556.98737	77.38885	-426.51648	-645.7798	1000.0	-49.89221	4.46453	-9.132986	-76.30073	525000	0.019719357	279.2549	-0.0016268268	-49.484512	8.856266	1.3716211	867.4666256904602
105	-540.30725	98.70847	-434.45956	-679.9576	1000.0	-50.265606	4.4532027	-7.0609922	-80.65993	530000	-0.0048700045	324.01776	-0.0014674268	-87.50531	8.793411	1.3013712	875.4442732334137
106	-587.5859	50.15357	-511.03366	-669.005	1000.0	-48.826405	5.7597685	-1.315024	-79.701004	535000	-0.003125244	226.06445	-0.0017583619	-67.63513	8.764359	1.2953612	883.5729973316193
107	-523.62286	46.35383	-484.6716	-613.96924	1000.0	-53.383526	5.8906913	-18.155136	-81.65394	540000	0.06522395	287.7777	-0.0019493252	-77.76909	8.842444	1.4079949	891.632247209549
108	-560.2181	12.98088	-545.2922	-578.3882	1000.0	-46.633125	4.085908	-21.091196	-76.73261	545000	0.045933448	202.49153	-0.0018543266	-36.163757	8.7678	1.2805508	899.7578780651093
109	-558.10205	37.769886	-489.16135	-594.44476	1000.0	-51.216476	4.5610986	-22.67704	-80.93202	550000	0.027877191	211.05475	-0.0012616646	-21.756302	8.89319	1.3867975	907.7836790084839
110	-578.4811	25.095707	-554.13837	-621.4305	1000.0	-50.607536	4.680037	-12.080101	-80.08215	555000	0.022035785	210.89375	-0.0017351769	-34.589874	8.828515	1.3607662	916.6280889511108
111	-590.0021	67.858284	-509.63037	-706.9819	1000.0	-51.010048	5.065158	-23.329197	-81.59992	560000	0.06498742	217.5388	-0.0015693903	-29.599731	8.84446	1.3537943	924.717179775238
112	-550.8031	28.066422	-519.3378	-600.5081	1000.0	-52.550293	6.81569	-26.752188	-81.777336	565000	0.09392646	231.30595	-0.0026594028	-44.823303	8.819329	1.3795178	932.8340291976929
113	-557.4428	32.624023	-522.6953	-601.5761	1000.0	-50.086243	5.133752	-24.0783	-79.09808	570000	0.062360045	215.9124	-0.0027227774	-25.27327	8.8413	1.3648252	941.1196200847626
114	-562.9906	17.888474	-530.5964	-579.2349	1000.0	-49.611458	3.8123946	-34.353317	-73.51334	575000	0.019174423	231.62888	-0.0012950916	-23.883652	8.755238	1.3026181	949.6126127243042
115	-518.1348	54.42443	-450.68283	-592.94714	1000.0	-50.69063	4.4563527	-8.643845	-77.321976	580000	0.02254748	250.2267	-0.002098808	-41.24588	8.797747	1.3151736	957.5322711467743
116	-522.6635	48.621456	-477.57626	-614.29663	1000.0	-48.57973	3.4329972	-15.38151	-73.9561	585000	0.013699412	217.61858	-0.002205777	-38.858902	8.779892	1.3786201	965.5465652942657
117	-567.52844	88.5026	-475.88174	-730.10004	1000.0	-47.620956	5.2151923	-18.44149	-77.84338	590000	0.030837195	339.72726	-0.0014643073	-76.40848	8.779328	1.2869533	973.4865245819092
