Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
120	429.3417	317.4329	1003.3322	176.4921	364.12473	204.2291	782.95074	47.69812	1000.0	855.7	600000	111.56781	43.714077	226.44626	4.3258705	-112.406235	6.512587	4742.322620868683
121	347.47806	94.60482	472.07516	220.21046	450.62726	207.59973	885.00836	171.97444	1000.0	1000.0	605000	111.61319	43.582066	230.4974	-13.55062	-112.43536	6.704611	4792.632750749588
122	336.9723	240.24585	793.20776	117.6201	281.8515	571.32666	863.8323	-1239.4216	1000.0	1000.0	610000	111.374344	43.34783	230.94392	31.796005	-112.215576	6.5271187	4844.679306507111
123	66.73743	263.2124	444.42935	-368.90228	662.51526	370.62317	1459.4095	226.22676	1000.0	1000.0	615000	112.09739	43.828285	233.00075	13.91348	-112.94809	6.546733	4897.257192611694
124	125.770386	106.80697	297.70126	-20.688404	83.121216	166.71442	383.38867	-175.77994	1000.0	1000.0	620000	111.94079	44.139698	231.57297	0.004453182	-112.76935	6.59561	4950.7143471241
125	184.53563	201.46355	515.8615	-73.88532	156.15657	255.68094	502.4074	-308.84766	1000.0	1000.0	625000	111.956314	43.98015	231.15535	-16.615414	-112.811615	6.6843405	5004.4504408836365
126	436.93433	157.702	722.1224	262.10208	164.81789	421.4835	692.367	-922.8937	1000.0	1000.0	630000	111.80346	43.736248	226.78609	-1.202395	-112.62833	6.749048	5058.751804113388
127	170.49304	497.17184	609.5573	-775.65314	252.27063	338.0445	604.7526	-530.08606	1000.0	1000.0	635000	111.594635	43.917904	229.2343	5.7452083	-112.44065	6.6630797	5111.855504751205
128	82.822464	465.02948	448.23367	-825.75464	320.77582	191.24472	759.1334	90.07399	1000.0	1000.0	640000	112.34848	44.44673	235.42938	-16.125443	-113.23719	6.632034	5167.079172611237
129	300.0751	163.29706	485.04355	81.117455	303.54877	192.51413	657.55444	25.314827	1000.0	1000.0	645000	112.53115	44.49735	234.07011	-35.691647	-113.37533	7.2293615	5220.214115619659
130	194.89824	88.770744	371.36917	139.43813	274.62326	156.87733	592.3924	6.3408723	1000.0	1000.0	650000	112.10278	43.950443	229.59013	10.964495	-112.95054	7.0441194	5273.4387946128845
