Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
90	4688.732	7.5609193	4706.903	4681.8745	4631.8525	11.053766	4651.466	4617.5703	1000.0	1000.0	900000	467.31412	4.2956014	547.53754	367.4866	-467.30716	0.57087356	9086.651618242264
91	4688.4033	7.948983	4702.1655	4675.7593	4634.9062	11.0539665	4655.2847	4622.7886	1000.0	1000.0	910000	467.21323	4.2714353	573.2196	417.13388	-467.20966	0.55010945	9196.233602285385
92	4690.1094	8.649607	4703.1284	4678.7534	4630.815	10.15548	4654.634	4620.987	1000.0	1000.0	920000	467.21216	4.209285	565.883	379.65002	-467.2127	0.54974	9305.832122087479
93	4685.3076	8.698617	4703.8667	4668.203	4630.3	10.357888	4653.8237	4619.6997	1000.0	1000.0	930000	467.50607	4.3161087	565.6335	305.51038	-467.5074	0.53872854	9414.514425516129
94	4687.342	11.711369	4706.9736	4661.219	4635.086	10.52703	4654.558	4621.3506	1000.0	1000.0	940000	467.6393	4.2312407	587.98114	366.23865	-467.6435	0.57660997	9523.561351299286
95	4689.245	8.805143	4702.119	4673.3438	4626.3843	2.6339948	4630.6147	4621.49	1000.0	1000.0	950000	467.70422	4.2133837	615.1003	390.09082	-467.7071	0.59193313	9633.637041091919
96	4685.9717	6.8673806	4702.248	4675.573	4634.7812	11.3786745	4654.33	4621.912	1000.0	1000.0	960000	467.71045	4.3022666	582.80054	389.4994	-467.7113	0.55712086	9742.9840362072
97	4690.9336	4.8751144	4704.6772	4686.2495	4637.214	11.561142	4652.0347	4619.551	1000.0	1000.0	970000	467.5549	4.2305818	540.9812	404.26364	-467.5539	0.5484799	9851.420382976532
98	4687.973	6.695762	4702.957	4681.1304	4629.1294	8.799064	4652.7827	4620.4756	1000.0	1000.0	980000	467.59302	4.2010875	554.3468	404.43478	-467.5968	0.5105307	9962.231909275055
99	4690.633	8.096169	4706.8965	4683.2554	4631.841	9.878021	4649.4326	4619.34	1000.0	1000.0	990000	467.7139	4.2239323	575.9007	394.36197	-467.7182	0.5168231	10071.526509046555
100	4692.6846	8.387182	4710.9526	4682.377	4638.6455	10.211753	4651.5864	4620.935	1000.0	1000.0	1000000	467.76672	4.309529	555.1976	381.64456	-467.7706	0.55644715	10181.175792455673
101	4688.839	6.399459	4703.84	4682.5356	4630.277	9.697041	4652.5	4619.743	1000.0	1000.0	1010000	467.7346	4.0976872	543.91156	419.2675	-467.7363	0.48627558	10295.630281448364
102	4688.751	10.605571	4703.5195	4668.378	4638.9453	11.440497	4653.2715	4619.2954	1000.0	1000.0	1020000	467.62	4.0724535	544.8396	407.6815	-467.6211	0.4915253	10415.31110906601
103	4689.6514	6.7163825	4702.7275	4679.6436	4635.343	10.949339	4651.211	4620.4463	1000.0	1000.0	1030000	467.5707	4.0598683	534.06104	421.9622	-467.5713	0.39496806	10535.127851963043
104	4687.781	10.2731905	4702.945	4664.939	4631.7134	6.44064	4642.8604	4621.303	1000.0	1000.0	1040000	467.54544	4.129203	619.0069	398.12994	-467.54504	0.4649601	10653.757472991943
105	4688.8076	9.14886	4702.7754	4678.131	4639.005	11.947592	4656.245	4624.262	1000.0	1000.0	1050000	467.4858	4.1008554	563.04736	383.76437	-467.4888	0.47582763	10773.238197565079
106	4684.292	6.9624333	4700.751	4673.5913	4630.999	11.932922	4652.232	4619.417	1000.0	1000.0	1060000	467.61948	4.031221	555.80255	396.18405	-467.62454	0.43357196	10892.282933712006
107	4686.267	9.647414	4703.2173	4665.4404	4628.478	10.225146	4652.2134	4616.7417	1000.0	1000.0	1070000	467.9025	4.0916166	563.04456	350.5882	-467.90695	0.43173218	11012.033073663712
108	4685.962	12.568255	4702.652	4654.4673	4631.7314	13.3148985	4653.953	4618.6436	1000.0	1000.0	1080000	468.40497	4.0370045	539.1787	410.42215	-468.4086	0.39341396	11130.44350862503
109	4691.2896	5.9548454	4702.8403	4684.638	4635.547	11.5169735	4652.9077	4620.1333	1000.0	1000.0	1090000	468.16284	4.064189	544.97614	417.35114	-468.1662	0.41325688	11249.52236366272
110	4683.7036	11.393822	4706.1787	4665.76	4631.5786	7.614824	4647.3115	4622.903	1000.0	1000.0	1100000	468.15802	4.104289	555.2412	428.5291	-468.1644	0.4162297	11372.641333580017
111	4684.2373	6.7955976	4697.463	4669.591	4639.0127	13.160813	4656.883	4619.83	1000.0	1000.0	1110000	468.11703	4.1307645	535.38776	428.31705	-468.1238	0.38396713	11501.573043107986
112	4682.195	8.047943	4699.358	4666.4565	4633.7397	11.059193	4652.0957	4622.0034	1000.0	1000.0	1120000	468.07248	4.0547943	615.23035	408.72324	-468.07806	0.42783818	11629.150809526443
113	4690.727	7.1909328	4702.652	4676.7754	4633.4033	10.63269	4651.165	4621.5728	1000.0	1000.0	1130000	468.17618	4.1424007	586.82074	366.5489	-468.1846	0.42648393	11756.21024942398
114	4686.694	8.528759	4702.83	4677.1787	4635.5737	11.073255	4647.2964	4622.5894	1000.0	1000.0	1140000	468.17838	4.1763067	568.93695	391.4861	-468.18604	0.41262382	11884.184440612793
115	4684.258	7.618868	4694.103	4665.2974	4633.8193	13.178717	4654.639	4617.808	1000.0	1000.0	1150000	468.12216	4.114362	546.92316	427.83948	-468.12766	0.38180754	12012.8854970932
116	4690.8413	7.800703	4704.002	4677.1455	4638.462	10.840281	4649.2007	4621.9795	1000.0	1000.0	1160000	468.1441	4.0497813	530.57324	424.68042	-468.15176	0.40712723	12141.133594036102
117	4688.369	8.36736	4707.1777	4674.661	4635.1377	11.856166	4654.453	4622.5854	1000.0	1000.0	1170000	468.16245	4.018855	552.48926	364.51895	-468.1688	0.41725704	12261.296287298203
118	4690.9595	8.2734785	4707.4395	4680.6577	4629.6807	10.952598	4650.2617	4617.69	1000.0	1000.0	1180000	468.00317	3.916448	527.69183	407.30582	-468.00635	0.3765669	12380.809241771698
119	4688.5874	10.358373	4703.2554	4671.7847	4629.0293	10.487963	4653.8486	4619.3057	1000.0	1000.0	1190000	468.04303	4.0361238	538.7109	422.8742	-468.05045	0.37336075	12498.999232053757
120	4690.251	9.797139	4706.9966	4672.1396	4632.215	11.661266	4648.449	4619.984	1000.0	1000.0	1200000	468.11984	4.01661	543.7527	426.36014	-468.1251	0.35846686	12618.185178041458
121	4690.8936	9.254495	4702.4316	4671.396	4628.6406	6.563095	4645.644	4622.9443	1000.0	1000.0	1210000	468.06973	3.9525099	545.7575	393.57785	-468.07535	0.40498945	12739.184051036835
122	4686.34	8.1169	4699.3086	4670.2075	4630.6016	6.697647	4643.2217	4622.8037	1000.0	1000.0	1220000	468.11407	4.0844254	552.99243	426.62976	-468.12305	0.39936346	12857.366324186325
123	4682.282	8.499618	4699.113	4671.08	4630.3413	11.7147455	4650.7686	4617.974	1000.0	1000.0	1230000	468.23807	4.0230746	545.9192	431.45816	-468.2496	0.36453575	12975.896692276001
124	4689.0713	12.68825	4709.0786	4666.702	4635.1123	9.653021	4647.6147	4619.577	1000.0	1000.0	1240000	468.41135	4.0601897	549.8304	393.80252	-468.4217	0.3930854	13095.475533246994
125	4692.797	8.859465	4706.1636	4680.8193	4632.501	8.084111	4649.853	4624.7666	1000.0	1000.0	1250000	468.42514	4.097952	605.74243	407.77307	-468.437	0.44845206	13214.261121988297
126	4691.666	10.415249	4705.7935	4673.4375	4631.289	9.494975	4650.4624	4623.785	1000.0	1000.0	1260000	468.45795	4.157704	534.9722	415.40616	-468.46716	0.3890135	13323.7786693573
127	4686.6133	7.559609	4705.887	4675.2793	4636.614	11.423027	4653.679	4622.7803	1000.0	1000.0	1270000	468.47607	4.113131	563.59424	406.81003	-468.4872	0.40144572	13432.848887681961
128	4688.8564	6.92028	4703.5854	4681.6855	4632.951	10.120001	4652.6377	4623.329	1000.0	1000.0	1280000	468.49036	4.065177	550.7982	418.3673	-468.5008	0.37840575	13542.667541742325
129	4685.89	4.8119845	4696.334	4679.2505	4628.1523	6.1934137	4644.065	4621.683	1000.0	1000.0	1290000	468.49698	4.0613656	527.0267	422.3036	-468.508	0.36384636	13652.585229873657
130	4688.4736	3.6431012	4694.381	4680.56	4636.4097	9.241015	4648.378	4622.3765	1000.0	1000.0	1300000	468.5967	4.1463194	554.90204	426.1004	-468.6096	0.37222597	13762.867956399918
131	4692.0303	8.758821	4705.203	4682.165	4641.6895	12.197455	4656.013	4618.0586	1000.0	1000.0	1310000	468.65805	4.088548	567.82117	422.39386	-468.6716	0.40318304	13873.541174411774
132	4687.405	5.3303914	4696.7935	4679.0225	4634.7397	12.542619	4653.2466	4620.437	1000.0	1000.0	1320000	468.6682	4.097703	556.3365	408.3825	-468.67856	0.41451696	13983.692398309708
